libfap;ROME;fap;annee;oee;defm_abc;ind_tension_d;cbassin;lib_bassin_bmo19
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;2019;233;45;5;3202;AMIENS
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;2019;133;109;5;3203;SANTERRE SOMME
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;2019;103;48;5;3224;ARTOIS TERNOIS
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;2019;136;22;5;5218;ANGERS
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;2019;188;12;5;5220;NANTES
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;2019;154;22;5;7524;PERIGUEUX NORD EST DORDOGNE
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;2019;112;46;5;7527;LANGON
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;2019;209;58;5;7531;LIBOURNE
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;2019;251;25;5;7532;BORDEAUX
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;2019;122;52;5;7534;MONT DE MARSAN
A0Z43 : Conducteurs d'engins agricoles ou forestiers;A1101;A0Z43;2019;130;71;5;7633;NIMES
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;2019;111;14;5;1107;T1 Paris
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;2019;178;28;5;7541;TULLE
A1Z41 : Jardiniers salariés;A1202;A1Z41;2019;149;7;5;8443;TASSIN
A1Z41 : Jardiniers salariés;A1202;A1Z41;2019;202;46;5;9311;TOULON
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;107;163;5;0204;MARTINIQUE NORD CARAIBE
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;118;113;4;1109;Nord Est 77
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;103;145;4;1115;Centre 77
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;418;162;5;1117;Marne la Vallée
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;428;358;5;1118;Porte Sud du Grand Paris
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;178;88;4;1124;Sud Ouest Francilien
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;430;454;5;1125;Seine-Aval
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;1 036;344;5;1126;Versailles Saclay
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;138;121;4;1128;Sud 91
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;163;259;4;1129;T12 Grand-Orly Seine Bièvre
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;198;154;5;1149;T9 Grand Paris Grand Est
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;501;99;5;1150;T11 Grand Paris Sud Est Avenir
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;330;290;5;1152;Est 95
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;139;232;5;2405;CHARTRES
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;312;254;4;2416;BLOIS
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;117;234;4;2419;MONTARGIS
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;157;111;5;2730;LONS LE SAUNIER
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;133;205;5;2802;PAYS DE CAUX
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;198;123;4;2809;ELBEUF
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;797;912;4;3216;LILLE
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;115;237;5;4434;EPINAL
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;193;114;5;4437;VOSGES DE L OUEST
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;124;105;5;4439;HAGUENAU
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;366;425;4;4441;STRASBOURG
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;113;88;5;5205;CHOLET
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;108;96;5;5209;MAMERS
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;405;267;4;5214;LA ROCHE SUR YON
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;124;188;5;5215;FONTENAY LE CTE
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;143;184;4;5216;LES SABLES D OLONNES
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;104;156;4;5217;CHALLANS
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;716;570;5;5220;NANTES
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;152;75;5;5222;LA BAULE
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;131;175;4;5224;PORNIC
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;249;141;5;5227;LAVAL
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;384;207;5;5308;SAINT BRIEUC
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;595;517;5;5314;RENNES
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;249;148;5;5322;QUIMPER
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;105;82;4;5324;CONCARNEAU
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;114;192;5;7527;LANGON
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;220;182;5;7529;ARCACHON
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;1 491;776;5;7532;BORDEAUX
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;122;176;4;7535;AGEN
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;125;104;5;7546;BELLAC
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;151;228;5;7608;CASTRES MAZAMET
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;134;210;5;7626;MONTAUBAN
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;122;327;4;7638;BEZIERS
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;126;89;5;8403;AMBERIEU
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;227;154;5;8406;GENEVOIS FRANCAIS
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;330;176;5;8407;ANNECY
A1Z41 : Jardiniers salariés;A1203;A1Z41;2019;245;146;4;8415;VIENNE ROUSSILLON
