annee;ROME;cbassin;oee;defm_abc;ind_tension_d;ind_int_emb_d;ind_main_oeuvre_d;ind_dur_empl_d;ind_cond_travail_d;ind_mismatch_geo_d;ind_specif_form_empl_d
2021;A1101;0203;16,61538462;28,25;5;5;1;5;4;4;5
2021;A1101;2824;37,42073171;23,75;5;5;3;2;4;4;5
2021;A1101;3201;21,37931034;18,75;5;5;4;4;4;4;5
2021;A1101;3202;72,68965517;37;3;5;3;4;4;4;5
2021;A1101;3203;106,8965517;102,25;5;5;1;4;4;4;5
2021;A1101;3204;23,51724138;27,5;4;5;3;5;4;4;5
2021;A1101;3206;10,68965517;40,5;1;5;1;2;4;4;5
2021;A1101;3210;21,37931034;17,5;2;2;4;1;4;4;5
2021;A1101;3212;81,24137931;24,25;5;5;3;4;4;4;5
2021;A1101;3213;25,65517241;19,5;5;5;3;5;4;4;5
2021;A1101;3223;14,96551724;17,25;5;5;1;1;4;4;5
2021;A1101;3224;126,137931;48;5;5;2;5;4;4;5
2021;A1101;4416;16,95867769;20;1;5;3;5;4;4;5
2021;A1101;5206;39,93165468;18,75;4;5;3;5;4;4;5
2021;A1101;5320;15,14136126;27,5;5;5;3;5;4;4;5
2021;A1101;7521;38,11685117;15,25;5;5;1;5;4;4;5
2021;A1101;7526;66,20295203;21;5;5;1;5;4;4;5
2021;A1101;7527;94,28905289;40,5;5;5;1;1;4;4;5
2021;A1101;7528;94,28905289;24;5;4;5;1;4;4;5
2021;A1101;7531;122,3751538;55,75;5;5;2;2;4;4;5
2021;A1101;7532;194,596556;25;5;5;3;1;4;4;5
2021;A1101;7534;92,28290283;48;5;5;3;3;4;4;5
2021;A1101;7536;40,12300123;24,25;5;5;2;5;4;4;5
2021;A1101;7537;82,25215252;40;5;5;1;5;4;4;5
2021;A1101;7538;50,15375154;45;4;5;1;2;4;4;5
2021;A1101;7621;65,04904051;22,75;5;5;1;5;4;4;5
2021;A1101;7626;33,64605544;26,5;5;5;1;5;4;4;5
2021;A1101;7627;24,67377399;30;5;5;1;5;4;4;5
2021;A1101;7630;82,99360341;20,75;5;5;3;4;4;4;5
2021;A1101;7631;134,5842217;29;5;5;3;5;4;4;5
2021;A1101;7633;62,80597015;76,75;5;5;1;5;4;4;5
2021;A1101;7635;26,91684435;31,75;1;5;2;3;4;4;5
2021;A1101;7638;74,02132196;43,5;5;5;1;5;4;4;5
2021;A1101;7644;94,20895522;43,75;5;5;2;5;4;4;5
2021;A1101;7648;29,15991471;21,5;5;5;1;5;4;4;5
2021;A1101;8431;38,61290323;18;5;5;1;3;4;4;5
2021;A1101;9313;14,0195122;23;5;5;1;3;4;4;5
2021;A1101;9314;53,74146341;35,25;5;5;3;2;4;4;5
2021;A1101;9315;65,42439024;26;3;5;1;2;4;4;5
2021;A1101;9316;39,72195122;29,5;4;5;1;2;4;4;5
2021;A1101;9329;56,07804878;28,5;5;5;3;3;4;4;5
2021;A1101;9332;35,04878049;21;4;5;4;3;4;4;5
2021;A1201;0404;24;21,5;1;5;1;3;4;5;5
2021;A1201;1125;31,26315789;15,25;3;5;3;3;4;5;5
2021;A1201;2713;109,9411765;19,5;5;5;1;1;4;5;5
2021;A1201;2718;57,58823529;19,25;5;5;3;4;4;5;5
2021;A1201;2828;35,17857143;18,75;5;3;3;1;4;5;5
2021;A1201;3221;31,27819549;17,25;5;5;3;4;4;5;5
2021;A1201;4402;15,43147208;17,75;5;3;4;5;4;5;5
2021;A1201;4412;19,2893401;27,75;3;3;2;2;4;5;5
2021;A1201;4429;15,43147208;50,75;5;2;3;5;4;5;5
2021;A1201;7501;35,64044944;18;5;5;3;4;4;5;5
2021;A1201;7532;164,494382;18,75;4;5;4;5;4;5;5
2021;A1201;7533;49,34831461;17;5;5;4;3;4;5;5
2021;A1201;7534;30,15730337;17;5;2;5;4;4;5;5
2021;A1201;7541;260,4494382;21,25;5;5;4;2;4;5;5
2021;A1201;7543;19,19101124;16;5;5;1;3;4;5;5
2021;A1201;7545;38,38202247;48,75;5;5;2;2;4;5;5
2021;A1201;7617;206,583691;34,5;5;5;1;2;4;5;5
2021;A1201;7633;22,67381974;18,25;5;5;1;4;4;5;5
2021;A1201;7636;20,15450644;38,75;1;5;1;1;4;5;5
2021;A1201;8412;72,21719457;32,25;5;5;3;5;4;5;5
2021;A1201;8421;19,25791855;22,25;4;5;1;4;4;5;5
2021;A1201;9301;43,19708029;27;2;5;4;5;4;5;5
2021;A1201;9306;21,59854015;19,25;5;2;4;2;4;5;5
2021;A1201;9311;47,12408759;33,75;1;5;2;5;4;5;5
2021;A1201;9332;84,43065693;37,25;4;5;3;4;4;5;5
2021;A1201;9333;58,90510949;28;4;4;3;2;4;5;5
2021;A1202;0202;13,43333333;28,25;3;5;1;3;4;5;3
2021;A1202;0203;32,03333333;17,75;4;5;1;5;4;5;3
2021;A1202;0402;85,80188679;893,5;1;5;1;2;4;5;3
2021;A1202;0403;115,0754717;311,25;1;5;1;2;4;5;3
2021;A1202;0404;19,17924528;490,75;1;5;1;2;4;5;3
2021;A1202;2421;18;21,5;5;3;4;3;4;5;3
2021;A1202;3202;12,2;77;5;3;1;2;4;5;3
2021;A1202;3230;12,2;23,75;5;5;2;4;4;5;3
2021;A1202;4430;18,78;33,75;5;5;1;5;4;5;3
2021;A1202;5206;28,15141956;49,5;4;5;1;5;4;5;3
