libfap;ROME;fap;bassin;bassin_lib;lib_rome;defm;dee;oee_nosais;ind_t;selec_offre
A0Z40 : Agriculteurs salariés;A1416;A0Z40;0204;MARTINIQUE NORD CARAIBE;Polyculture, élevage;58.916666667;63;44;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;2405;CHARTRES;Polyculture, élevage;58.416666667;75;75;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;2421;ORLEANS;Polyculture, élevage;62.833333333;69;28;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;2701;NEVERS;Polyculture, élevage;20;26;16;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;2816;GISORS;Polyculture, élevage;22.583333333;28;85;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;2817;CAEN;Polyculture, élevage;40.166666667;53;55;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;2818;BAYEUX;Polyculture, élevage;22.75;40;19;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;3202;AMIENS;Polyculture, élevage;109.75;103;36;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;3208;BRIE TARDENOIS;Polyculture, élevage;29.416666667;25;14;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;3220;DOUAI;Polyculture, élevage;41.25;33;17;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;4419;LANGRES;Polyculture, élevage;25.166666667;43;12;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;4425;NANCY;Polyculture, élevage;41.833333333;52;22;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;4439;HAGUENAU;Polyculture, élevage;24.333333333;13;15;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;4441;STRASBOURG;Polyculture, élevage;43.416666667;45;38;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;5227;LAVAL;Polyculture, élevage;30.333333333;64;46;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;5311;PLOERMEL;Polyculture, élevage;20.25;42;11;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;7519;SAINTES;Polyculture, élevage;49.25;38;15;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;7536;MARMANDE;Polyculture, élevage;166.75;155;75;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;7545;LIMOGES;Polyculture, élevage;50.5;56;32;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;7610;FOIX;Polyculture, élevage;28.916666667;30;19;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;7620;AUCH;Polyculture, élevage;126.91666667;130;53;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;7621;CONDOM;Polyculture, élevage;57.333333333;63;78;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;7630;CARCASSONNE;Polyculture, élevage;53.416666667;62;33;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;8409;MAURIENNE;Polyculture, élevage;6.25;13;20;1;0
A0Z40 : Agriculteurs salariés;A1416;A0Z40;9409;BASTIA;Polyculture, élevage;38.5;48;234;1;1
A0Z40 : Agriculteurs salariés;A1416;A0Z40;9411;CORTE GHISONACCIA ALERIA;Polyculture, élevage;35.833333333;44;334;1;1
A0Z41 : Éleveurs salariés;A1403;A0Z41;1126;Versailles Saclay;Aide d'élevage agricole et aquacole;6.0833333333;9;12;1;0
A0Z41 : Éleveurs salariés;A1403;A0Z41;2422;PITHIVIERS;Aide d'élevage agricole et aquacole;5.0833333333;8;12;1;0
A0Z41 : Éleveurs salariés;A1403;A0Z41;2811;EVREUX;Aide d'élevage agricole et aquacole;14.333333333;18;13;1;0
A0Z41 : Éleveurs salariés;A1403;A0Z41;2820;LISIEUX;Aide d'élevage agricole et aquacole;44.916666667;58;31;1;0
A0Z41 : Éleveurs salariés;A1403;A0Z41;4416;CHALONS;Aide d'élevage agricole et aquacole;7.6666666667;5;57;1;0
A0Z41 : Éleveurs salariés;A1403;A0Z41;5209;MAMERS;Aide d'élevage agricole et aquacole;3.6666666667;6;11;1;0
A0Z41 : Éleveurs salariés;A1403;A0Z41;5227;LAVAL;Aide d'élevage agricole et aquacole;13.333333333;21;16;1;0
A0Z41 : Éleveurs salariés;A1403;A0Z41;5303;MORLAIX;Aide d'élevage agricole et aquacole;7.75;15;15;1;0
A0Z41 : Éleveurs salariés;A1403;A0Z41;5312;DINAN;Aide d'élevage agricole et aquacole;5;11;11;1;0
A0Z41 : Éleveurs salariés;A1403;A0Z41;5314;RENNES;Aide d'élevage agricole et aquacole;24.416666667;32;13;1;0
A0Z41 : Éleveurs salariés;A1403;A0Z41;7620;AUCH;Aide d'élevage agricole et aquacole;9.5833333333;9;15;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;2415;TOURS;Élevage bovin ou équin;14.833333333;21;12;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;2726;BESANCON;Élevage bovin ou équin;9.75;17;32;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;2730;LONS LE SAUNIER;Élevage bovin ou équin;15;26;22;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;2811;EVREUX;Élevage bovin ou équin;9.3333333333;15;16;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;2820;LISIEUX;Élevage bovin ou équin;33.833333333;38;20;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;2825;FLERS;Élevage bovin ou équin;29.5;41;24;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;2826;ALENCON;Élevage bovin ou équin;14.416666667;24;22;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;3201;ABBEVILLE PONTHIEU;Élevage bovin ou équin;12.5;19;13;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;5220;NANTES;Élevage bovin ou équin;16.5;31;108;1;1
A0Z41 : Éleveurs salariés;A1407;A0Z41;5227;LAVAL;Élevage bovin ou équin;26;42;39;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;5310;VANNES;Élevage bovin ou équin;19.416666667;34;115;1;1
A0Z41 : Éleveurs salariés;A1407;A0Z41;5314;RENNES;Élevage bovin ou équin;39.083333333;59;190;1;1
A0Z41 : Éleveurs salariés;A1407;A0Z41;7513;POITIERS;Élevage bovin ou équin;10;16;35;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;7614;RODEZ;Élevage bovin ou équin;26;37;17;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;8401;BOURG EN BRESSE;Élevage bovin ou équin;13.75;22;13;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;8407;ANNECY;Élevage bovin ou équin;13.166666667;32;23;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;8411;CHAMBERY;Élevage bovin ou équin;10.083333333;16;12;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;8457;CLERMONT FERRAND;Élevage bovin ou équin;19.166666667;31;30;1;0
A0Z41 : Éleveurs salariés;A1407;A0Z41;8461;ISSOIRE;Élevage bovin ou équin;12.75;17;14;1;0
A0Z41 : Éleveurs salariés;A1408;A0Z41;5227;LAVAL;Élevage d'animaux sauvages ou de compagnie;10.833333333;12;23;1;0
A0Z41 : Éleveurs salariés;A1408;A0Z41;8449;VICHY CUSSET;Élevage d'animaux sauvages ou de compagnie;8.4166666667;11;13;1;0
A0Z41 : Éleveurs salariés;A1409;A0Z41;5213;LES HERBIERS;Élevage de lapins et volailles;21.75;21;46;1;0
A0Z41 : Éleveurs salariés;A1409;A0Z41;5220;NANTES;Élevage de lapins et volailles;3.6666666667;3;11;1;0
A0Z41 : Éleveurs salariés;A1409;A0Z41;5229;BEAUPREAU;Élevage de lapins et volailles;31.833333333;40;25;1;0
A0Z41 : Éleveurs salariés;A1409;A0Z41;5310;VANNES;Élevage de lapins et volailles;6.4166666667;7;26;1;0
A0Z41 : Éleveurs salariés;A1409;A0Z41;5314;RENNES;Élevage de lapins et volailles;11.916666667;12;14;1;0
A0Z41 : Éleveurs salariés;A1409;A0Z41;7511;BRESSUIRE;Élevage de lapins et volailles;8.3333333333;9;14;1;0
A0Z41 : Éleveurs salariés;A1409;A0Z41;7513;POITIERS;Élevage de lapins et volailles;2.25;5;13;1;0
A0Z41 : Éleveurs salariés;A1409;A0Z41;7524;PERIGUEUX NORD EST DORDOGNE;Élevage de lapins et volailles;10.416666667;12;17;1;0
A0Z41 : Éleveurs salariés;A1409;A0Z41;7534;MONT DE MARSAN;Élevage de lapins et volailles;26.583333333;21;38;1;0
A0Z41 : Éleveurs salariés;A1409;A0Z41;7539;PAYS BASQUE;Élevage de lapins et volailles;1.9166666667;1;38;1;0
A0Z41 : Éleveurs salariés;A1409;A0Z41;7620;AUCH;Élevage de lapins et volailles;17;12;20;1;0
A0Z41 : Éleveurs salariés;A1409;A0Z41;8435;VALLEE DE LA DROME;Élevage de lapins et volailles;1.1666666667;3;13;1;0
A0Z41 : Éleveurs salariés;A1410;A0Z41;7513;POITIERS;Élevage ovin ou caprin;5;7;32;1;0
A0Z41 : Éleveurs salariés;A1410;A0Z41;7614;RODEZ;Élevage ovin ou caprin;16.333333333;14;19;1;0
A0Z41 : Éleveurs salariés;A1411;A0Z41;3224;ARTOIS TERNOIS;Élevage porcin;1.4166666667;1;12;1;0
A0Z41 : Éleveurs salariés;A1411;A0Z41;5227;LAVAL;Élevage porcin;3.3333333333;2;20;1;0
A0Z41 : Éleveurs salariés;A1411;A0Z41;5310;VANNES;Élevage porcin;2.9166666667;3;84;1;0
A0Z41 : Éleveurs salariés;A1411;A0Z41;5314;RENNES;Élevage porcin;10.083333333;13;97;1;0
A0Z41 : Éleveurs salariés;A1411;A0Z41;5323;DOUARNENEZ;Élevage porcin;2.4166666667;4;18;1;0
A0Z41 : Éleveurs salariés;A1411;A0Z41;7538;BEARN;Élevage porcin;6.4166666667;10;16;1;0
A0Z42 : Bûcherons, sylviculteurs salariés et agents forestiers;A1201;A0Z42;1118;Porte Sud du Grand Paris;Bûcheronnage et élagage;9.0833333333;15;16;1;0
