code;name;rent_t2;rent_t4
1;Ain;585;1040
2;Aisne;450;800
3;Allier;405;720
4;Alpes-de-Haute-Provence;495;880
5;Hautes-Alpes;495;880
6;Alpes-Maritime;855;1520
7;Ardèche;405;720
8;Ardennes;315;560
9;Ariège;405;720
10;Aube;450;800
11;Aude;495;880
12;Aveyron;405;720
13;Bouches-du-Rhône;675;1200
14;Calvados;540;960
15;Cantal;405;720
16;Charente;450;800
17;Charente-Maritime;630;1120
18;Cher;450;800
19;Corrèze;405;720
21;Côte-D'Or;540;960
22;Côte-D'Armor;450;800
23;Creuse;405;720
24;Dordogne;450;800
25;Doubs;495;880
26;Drômes;450;800
27;Eure;540;960
28;Eure-et-Loire;540;960
29;Finistère;495;880
30;Gard;495;880
31;Haute-Garonne;585;1040
32;Gers;405;720
33;Gironde;675;1200
34;Hérault;675;1200
35;Ille-et-Vilaine;585;1040
36;Indre;360;640
37;Indre-et-Loire;540;960
38;Isère;540;960
39;Jura;405;720
40;Landes;495;880
41;Loir-et-Cher;495;880
42;Loire;405;720
43;Haute-Loire;540;960
44;Loire-Atlantique;585;1040
45;Loiret;810;1440
46;Lot;405;720
47;Lot-et-Garonne;405;720
48;Lozère;450;800
49;Maine-Et-Loire;540;960
50;Manche;450;800
51;Marne;540;960
52;Haute-Marne;360;640
53;Mayenne;540;960
54;Meurthe-et-Moselle;540;960
55;Meuse;315;560
56;Morbihan;540;960
57;Moselle;495;880
58;Nièvre;405;720
59;Nord;630;1120
60;Oise;630;1120
61;Orne;360;640
62;Pas-de-Calais;495;880
63;Puy-de-Dôme;495;880
64;Pyrenees-Atlantiques;540;960
65;Hautes-Pyrénées;405;720
66;Pyrénées-Orientales;495;880
67;Bas-Rhin;585;1040
68;Haut-Rhin;495;880
69;Rhône;675;1200
70;Haute-Saône;315;560
71;Saône-et-Loire;405;720
72;Sarthe;495;880
73;Savoie;540;960
74;Haute-Savoie;675;1200
75;Paris;1401;2410
76;Seine-Maritime;540;960
77;Seine-et-Marne;720;1280
78;Yvelines;855;1520
79;Deux-Sèvres;450;800
80;Somme;585;1040
81;Tarn;450;800
82;Tarn-et-Garonne;450;800
83;Var;630;1120
84;Vaucluse;495;880
85;Vendée;540;960
86;Vienne;540;960
87;Haute-Vienne;450;800
88;Vosges;405;720
89;Yonne;450;800
90;Territoire de Belfort;405;720
91;Essonne;765;1360
92;Hauts-de-Seine;1125;2000
93;Seine-Saint-Denis;855;1520
94;Val-de-Marne;945;1680
95;Val-d'Oise;765;1360
971;Guadeloupe;585;1040
972;Martinique;585;1040
973;Guyane;630;1120
974;La Réunion;540;960
975;Saint-Pierre-et-Miquelon;720;1280
976;Mayotte;585;1040
977;Saint-Barthélemy;720;1280
978;Saint-Martin;720;1280
984;Terres australes et antarctiques françaises;720;1280
986;Wallis-et-Futuna;720;1280
987;Polynésie francaise;720;1280
988;Nouvelle-Calédonie;720;1280
989;Ile Clipperton;720;1280
2A;Corse-du-Sud;675;1200
2B;Haute-Corse;540;960
