Numéro,Nom de station,Altitude,"Type de Station","Ouvert / Fermé",Latitude,Longitude,Précipitations,Température,Vent,Nombre de jours de vent …,Rayonnement,Insolation,Nombre de jours avec fraction d’insolation …,Occurrence de Brouillard,Orage,Grêle,Neige
1089001,AMBERIEU,0251 m,0,O,"45,976","5,329",Complet,Complet,Complet,Partiel,Absent,Complet,Complet,Absent,Absent,Absent,Absent
1185004,HAUTEVILLE,0805 m,3,O,"45,979","5,598",Complet,Complet,Absent,Absent,Complet,Absent,Absent,Absent,Absent,Absent,Absent
2320001,ST QUENTIN,0098 m,0,O,"49,818","3,206",Complet,Complet,Complet,Partiel,Complet,Complet,Complet,Absent,Complet,Complet,Complet
2321002,FONTAINE-LES-VV,0186 m,1,O,"49,837","3,877",Complet,Complet,Complet,Complet,Partiel,Absent,Absent,Absent,Absent,Absent,Absent
2594001,PASSY EN VALOIS,0141 m,2,F,"49,165","3,199",Complet,Complet,Partiel,Partiel,Complet,Absent,Absent,Absent,Absent,Absent,Absent
3060001,VICHY-CHARMEIL,0249 m,0,O,"46,166","3,398",Complet,Complet,Complet,Complet,Absent,Complet,Complet,Complet,Complet,Complet,Complet
3155003,LURCY-LEVIS SA,0225 m,1,O,"46,718","2,947",Complet,Complet,Complet,Complet,Complet,Complet,Complet,Absent,Absent,Absent,Absent
3180001,MONTBEUGNY,0275 m,1,O,"46,536","3,423",Complet,Complet,Complet,Complet,Absent,Absent,Absent,Absent,Absent,Absent,Absent
3200001,NEUVY,0250 m,3,F,"46,549","3,285",Complet,Complet,Complet,Complet,Partiel,Absent,Absent,Absent,Absent,Absent,Absent
3248001,ST-NICOLAS,1022 m,1,O,"46,051","3,805",Complet,Complet,Partiel,Partiel,Complet,Absent,Absent,Absent,Absent,Absent,Absent
4049001,ST AUBAN,0458 m,0,O,"44,062","5,989",Complet,Complet,Complet,Partiel,Absent,Complet,Complet,Complet,Complet,Complet,Complet
5023001,BRIANCON,1324 m,4,F,"44,908","6,635",Complet,Complet,Absent,Partiel,Absent,Complet,Complet,Absent,Absent,Absent,Absent
5046001,EMBRUN,0871 m,0,O,"44,565","6,502",Complet,Complet,Complet,Partiel,Complet,Complet,Complet,Absent,Absent,Absent,Absent
5070003,LARAGNE MONTEGLIN,0565 m,1,O,"44,319","5,794",Complet,Complet,Complet,Partiel,Complet,Absent,Absent,Absent,Absent,Absent,Absent
6029001,CANNES,0002 m,0,O,"43,556","6,95",Complet,Complet,Absent,Absent,Absent,Complet,Complet,Absent,Absent,Absent,Absent
6088001,NICE,0002 m,0,O,"43,648","7,209",Complet,Complet,Complet,Complet,Complet,Complet,Complet,Complet,Complet,Complet,Complet
7068001,COLOMBIER JEUNE RAD,0566 m,1,O,"45,015","4,671",Complet,Complet,Partiel,Absent,Absent,Complet,Complet,Absent,Absent,Absent,Absent
7131001,LANAS SYN,0280 m,0,O,"44,538","4,367",Complet,Complet,Complet,Absent,Absent,Complet,Complet,Absent,Absent,Absent,Absent
8105005,CHARLEVILLE-MEZ,0147 m,0,O,"49,782","4,643",Complet,Complet,Complet,Partiel,Absent,Complet,Complet,Complet,Complet,Complet,Complet
9289001,ST GIRONS,0414 m,0,O,"43,005","1,106",Complet,Complet,Complet,Complet,Absent,Complet,Complet,Absent,Absent,Absent,Absent
10030001,TROYES-BARBEREY,0112 m,0,O,"48,324","4,02",Complet,Complet,Complet,Partiel,Absent,Complet,Complet,Complet,Complet,Complet,Complet
10130001,DOSNON,0113 m,2,O,"48,609","4,224",Complet,Complet,Complet,Complet,Absent,Absent,Absent,Absent,Absent,Absent,Absent
10228002,MATHAUX-ETAPE,0143 m,1,O,"48,353","4,472",Complet,Complet,Complet,Partiel,Complet,Complet,Complet,Absent,Absent,Absent,Absent
11069001,CARCASSONNE,0128 m,0,O,"43,215","2,295",Complet,Complet,Complet,Complet,Complet,Complet,Complet,Complet,Complet,Complet,Complet
11170001,GRUISSAN-INRA,0001 m,5,O,"43,143","3,135",Complet,Complet,Absent,Absent,Complet,Absent,Absent,Absent,Absent,Absent,Absent
12145001,MILLAU,0712 m,0,O,"44,118","3,019",Complet,Complet,Complet,Complet,Complet,Complet,Complet,Absent,Absent,Absent,Absent
