Observatory;Data_year;agglomeration;Zone_complementaire;Type_habitat;epoque_construction_homogene;anciennete_locataire_homogene;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production
B2900;2021;Agglomération de Brest;;;;;;6,4;7,4;8,6;10,1;12;8,2;330;395;463;580;780;510;62;4806;26930;Estimation directe
B2900;2021;Agglomération de Brest;;;;;Maison 1-3P;;;;;;;;;;;;;;32;;Estimation directe
B2900;2021;Agglomération de Brest;;;;;Ensemble 4P+;5,4;6,4;7,5;8,1;9,3;7,2;484;545;716;840;920;705;98;996;7318;Estimation directe
B2900;2021;Agglomération de Brest;;;;;Maison 4P+;6,2;7,3;8;8,7;9,4;7,8;650;740;800;885;930;808;104;259;2948;Estimation directe
B2900;2021;Agglomération de Brest;;;;;Appart 1P;9,5;10,6;12,1;14,8;17,4;12,1;275;300;320;350;380;327;27;844;3688;Estimation directe
B2900;2021;Agglomération de Brest;;;;;Appart 2P;7,6;8,4;9,6;10,6;11,7;9,4;342;380;420;460;500;418;45;1626;8641;Estimation directe
B2900;2021;Agglomération de Brest;;;;;Appart 3P;6,2;7;7,8;8,9;9,6;7,8;420;450;500;550;602;505;65;1308;6644;Estimation directe
B2900;2021;Agglomération de Brest;;;;;Appart 4P+;5,1;6,1;7;7,8;9,2;6,8;440;510;594;720;886;632;93;737;4370;Estimation directe
B2900;2021;Agglomération de Brest;;;;;Ensemble 1P;9,5;10,6;12,1;14,8;17,4;12,1;275;300;320;350;380;327;27;844;3724;Estimation directe
B2900;2021;Agglomération de Brest;;;;;Ensemble 2P;7,6;8,4;9,6;10,6;11,7;9,4;342;380;420;460;500;419;45;1632;8805;Estimation directe
B2900;2021;Agglomération de Brest;;;;;Ensemble 3P;6,4;7;7,9;8,9;9,7;7,9;420;450;510;563;625;512;65;1334;7082;Estimation directe
B2900;2021;Agglomération de Brest;;;;1. Moins de 1 an;;6,6;7,6;9;10,6;13;8,3;320;390;465;630;840;526;63;1596;;Estimation directe
B2900;2021;Agglomération de Brest;;;;1. Moins de 1 an;Ensemble 4P+;5,9;6,8;7,8;8,4;9,5;7,3;545;630;770;850;920;763;105;290;;Estimation directe
B2900;2021;Agglomération de Brest;;;;1. Moins de 1 an;Ensemble 1P;10,1;10,8;12,3;14,8;17;12,2;275;300;325;370;395;334;27;353;;Estimation directe
B2900;2021;Agglomération de Brest;;;;1. Moins de 1 an;Ensemble 2P;7,6;8,8;9,9;11,4;13;9,6;342;390;417;460;480;416;43;528;;Estimation directe
B2900;2021;Agglomération de Brest;;;;1. Moins de 1 an;Ensemble 3P;6,7;7,1;8,2;9;9,8;8;450;480;515;580;630;527;66;425;;Estimation directe
B2900;2021;Agglomération de Brest;;;;2. 1 an et plus;;6,2;7,3;8,5;9,8;11,6;8,1;330;396;462;552;750;499;62;3210;;Estimation directe
B2900;2021;Agglomération de Brest;;;;2. 1 an et plus;Ensemble 4P+;5,3;6,4;7,3;8;9;7,2;435;511;644;790;910;663;93;706;;Estimation directe
B2900;2021;Agglomération de Brest;;;;2. 1 an et plus;Ensemble 1P;9,1;10,6;12;15,5;17,5;12;275;298;320;340;362;320;27;491;;Estimation directe
B2900;2021;Agglomération de Brest;;;;2. 1 an et plus;Ensemble 2P;7,6;8,4;9,4;10,3;11,3;9,2;344;376;420;457;500;420;46;1104;;Estimation directe
B2900;2021;Agglomération de Brest;;;;2. 1 an et plus;Ensemble 3P;6,2;6,9;7,9;8,9;9,7;7,9;400;440;500;555;602;506;64;909;;Estimation directe
B2900;2021;Agglomération de Brest;;;1. Avant 1946;;;6,1;7,4;9;10,6;14,2;8,3;300;355;440;520;650;458;55;639;2521;Estimation directe
B2900;2021;Agglomération de Brest;;;1. Avant 1946;;Ensemble 4P+;5,3;5,9;7,2;7,8;9;6,7;480;534;620;740;910;657;97;86;523;Estimation directe
B2900;2021;Agglomération de Brest;;;1. Avant 1946;;Ensemble 1P;10,2;11;12,9;16,9;17,6;12,5;266;278;300;330;370;310;25;187;437;Estimation directe
B2900;2021;Agglomération de Brest;;;1. Avant 1946;;Ensemble 2P;7,7;8,1;9,9;10,6;13;9,4;330;365;400;460;500;415;44;237;1001;Estimation directe
B2900;2021;Agglomération de Brest;;;1. Avant 1946;;Ensemble 3P;6,2;6,2;7,8;8,7;9,4;7,5;385;440;490;540;625;498;66;129;559;Estimation directe
B2900;2021;Agglomération de Brest;;;1. Avant 1946;1. Moins de 1 an;;6,1;8;10,2;12,7;15,4;9,1;285;320;391;490;620;420;46;229;;Estimation directe
B2900;2021;Agglomération de Brest;;;1. Avant 1946;1. Moins de 1 an;Maison 4P+;;;;;;;;;;;;;;7;;Estimation directe
B2900;2021;Agglomération de Brest;;;1. Avant 1946;1. Moins de 1 an;Appart 1P;10,3;11;13,2;16,9;17,6;12,9;270;275;300;320;380;309;24;72;;Estimation directe
B2900;2021;Agglomération de Brest;;;1. Avant 1946;1. Moins de 1 an;Appart 2P;7,2;8,5;10,2;11,2;13,4;9,7;310;350;400;460;460;398;41;90;;Estimation directe
B2900;2021;Agglomération de Brest;;;1. Avant 1946;1. Moins de 1 an;Appart 3P;;;;;;;;;;;;;;40;;Estimation directe
B2900;2021;Agglomération de Brest;;;1. Avant 1946;1. Moins de 1 an;Appart 4P+;;;;;;;;;;;;;;20;;Estimation directe
B2900;2021;Agglomération de Brest;;;1. Avant 1946;2. 1 an et plus;;5,9;7;8,5;10;12,3;8;320;370;460;534;659;479;60;410;;Estimation directe
B2900;2021;Agglomération de Brest;;;1. Avant 1946;2. 1 an et plus;Maison 1-3P;;;;;;;;;;;;;;9;;Estimation directe
B2900;2021;Agglomération de Brest;;;1. Avant 1946;2. 1 an et plus;Maison 4P+;;;;;;;;;;;;;;18;;Estimation directe
B2900;2021;Agglomération de Brest;;;1. Avant 1946;2. 1 an et plus;Appart 1P;8,6;11,2;12,9;17,5;17,8;11,9;260;298;307;348;352;311;26;115;;Estimation directe
B2900;2021;Agglomération de Brest;;;1. Avant 1946;2. 1 an et plus;Appart 2P;7,8;8;9,7;10,6;11,4;9,2;350;366;430;500;520;427;46;144;;Estimation directe
B2900;2021;Agglomération de Brest;;;1. Avant 1946;2. 1 an et plus;Appart 3P;5,7;6,2;7;8,5;9,2;7,2;385;400;470;535;600;484;67;83;;Estimation directe
B2900;2021;Agglomération de Brest;;;1. Avant 1946;2. 1 an et plus;Appart 4P+;;;;;;;;;;;;;;41;;Estimation directe
B2900;2021;Agglomération de Brest;;;2. Entre 1946-1970;;;6,3;7,1;8,1;9,4;11,6;8;327;395;460;540;650;490;61;1997;9457;Estimation directe
B2900;2021;Agglomération de Brest;;;2. Entre 1946-1970;;Ensemble 4P+;5,4;6,3;7,2;7,9;8,8;7,2;431;498;564;740;900;639;89;494;2537;Estimation directe
B2900;2021;Agglomération de Brest;;;2. Entre 1946-1970;;Ensemble 1P;9,1;10,3;11,8;13,7;14,8;11,6;300;315;330;360;410;337;29;254;1052;Estimation directe
