code_bassin;demandeurs_emploi;secteur_libelle
9411;101;Construction
9411;79;Commerce -  réparation d'automobiles et de motocycles
9411;54;Hébergement et restauration
9411;30;Industrie manufacturière
9411;26;Santé humaine et action sociale
9411;20;Agriculture, sylviculture et pêche
9411;18;Activités de services administratifs et de soutien
9411;13;Activités financières et d'assurance
9411;11;Transports et entreposage
9411;10;Autres activités de services
9411;9;Activités spécialisées, scientifiques et techniques
9411;6;Enseignement
9411;5;Arts, spectacles et activités récréatives
9411;4;Information et communication
9411;2;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
9411;1;Industries extractives
9410;95;Commerce -  réparation d'automobiles et de motocycles
9410;87;Construction
9410;59;Hébergement et restauration
9410;33;Activités spécialisées, scientifiques et techniques
9410;24;Industrie manufacturière
9410;18;Santé humaine et action sociale
9410;13;Autres activités de services
9410;11;Arts, spectacles et activités récréatives
9410;11;Activités immobilières
9410;11;Activités de services administratifs et de soutien
9410;8;Administration publique
9410;8;Transports et entreposage
9410;7;Activités financières et d'assurance
9410;6;Information et communication
9410;4;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
9410;2;Agriculture, sylviculture et pêche
9410;1;Enseignement
9409;526;Commerce -  réparation d'automobiles et de motocycles
9409;419;Construction
9409;365;Hébergement et restauration
9409;181;Santé humaine et action sociale
9409;165;Activités de services administratifs et de soutien
9409;143;Activités spécialisées, scientifiques et techniques
9409;141;Industrie manufacturière
9409;104;Transports et entreposage
9409;84;Autres activités de services
9409;52;Activités financières et d'assurance
9409;42;Arts, spectacles et activités récréatives
9409;34;Activités immobilières
9409;31;Administration publique
9409;26;Enseignement
9409;23;Information et communication
9409;21;Agriculture, sylviculture et pêche
9409;10;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
9409;2;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
9409;1;Industries extractives
9408;286;Construction
9408;234;Hébergement et restauration
9408;192;Commerce -  réparation d'automobiles et de motocycles
9408;57;Activités spécialisées, scientifiques et techniques
9408;46;Activités de services administratifs et de soutien
9408;45;Industrie manufacturière
9408;36;Transports et entreposage
9408;32;Santé humaine et action sociale
9408;28;Autres activités de services
9408;25;Administration publique
9408;18;Activités immobilières
9408;13;Arts, spectacles et activités récréatives
9408;10;Enseignement
9408;10;Agriculture, sylviculture et pêche
9408;9;Activités financières et d'assurance
9408;8;Information et communication
9408;5;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
9407;716;Commerce -  réparation d'automobiles et de motocycles
9407;393;Hébergement et restauration
9407;335;Construction
9407;277;Santé humaine et action sociale
9407;154;Industrie manufacturière
9407;147;Activités de services administratifs et de soutien
9407;119;Transports et entreposage
9407;119;Activités spécialisées, scientifiques et techniques
9407;74;Information et communication
9407;69;Autres activités de services
9407;59;Administration publique
9407;50;Activités immobilières
9407;44;Activités financières et d'assurance
9407;37;Enseignement
9407;31;Arts, spectacles et activités récréatives
9407;10;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
9407;7;Agriculture, sylviculture et pêche
9407;5;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
9407;4;Industries extractives
9332;718;Commerce -  réparation d'automobiles et de motocycles
9332;414;Hébergement et restauration
9332;389;Santé humaine et action sociale
9332;373;Construction
9332;309;Activités spécialisées, scientifiques et techniques
9332;305;Transports et entreposage
9332;257;Activités de services administratifs et de soutien
9332;164;Industrie manufacturière
9332;129;Autres activités de services
9332;109;Administration publique
9332;68;Agriculture, sylviculture et pêche
9332;40;Activités financières et d'assurance
9332;39;Information et communication
9332;39;Activités immobilières
9332;38;Arts, spectacles et activités récréatives
9332;35;Enseignement
9332;25;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
9332;7;Industries extractives
9332;1;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
9331;1524;Commerce -  réparation d'automobiles et de motocycles
9331;1515;Hébergement et restauration
9331;1000;Construction
9331;752;Santé humaine et action sociale
9331;604;Activités de services administratifs et de soutien
9331;482;Activités spécialisées, scientifiques et techniques
9331;453;Industrie manufacturière
9331;357;Transports et entreposage
9331;333;Autres activités de services
9331;221;Administration publique
9331;168;Arts, spectacles et activités récréatives
9331;162;Activités financières et d'assurance
9331;160;Activités immobilières
9331;61;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
9331;53;Enseignement
9331;50;Information et communication
9331;43;Agriculture, sylviculture et pêche
9331;5;Industries extractives
9331;1;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
9330;560;Commerce -  réparation d'automobiles et de motocycles
9330;386;Activités de services administratifs et de soutien
9330;296;Hébergement et restauration
9330;271;Santé humaine et action sociale
9330;245;Transports et entreposage
9330;237;Construction
9330;162;Industrie manufacturière
9330;146;Activités spécialisées, scientifiques et techniques
9330;98;Autres activités de services
9330;60;Administration publique
9330;54;Activités financières et d'assurance
9330;31;Arts, spectacles et activités récréatives
9330;26;Enseignement
9330;22;Activités immobilières
9330;19;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
9330;18;Agriculture, sylviculture et pêche
9330;14;Information et communication
9330;4;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
